id;go/x;go/y;ic;ln
0;7.741874225439;48.586908036698;autotrement;Station Citiz LES HALLES P2
1;7.736393301264;48.580229597052;autotrement;Station Citiz PETITE FRANCE
2;7.7472630735568;48.58919105212;autotrement;Station Citiz TRIBUNAL-CIARUS
3;7.7594335380644;48.566039630075;autotrement;Station Citiz PLACE DU MARCHE
4;7.7768116580249;48.598082827264;autotrement;Station Citiz BOECKLIN
5;7.7541446091433;48.599929842014;autotrement;Station Citiz RIVES DE L'AAR
6;7.7366622988905;48.587265271907;autotrement;Station Citiz GARE WODLI TGV
7;7.7387354287531;48.581406192722;autotrement;Station Citiz PONTS COUVERTS
8;7.7527476499312;48.587060508727;autotrement;Station Citiz REPUBLIQUE
9;7.7616833406276;48.57961056267;autotrement;Station Citiz KRUTENAU
10;7.7705028208548;48.579334705366;autotrement;Station Citiz ESPLANADE
11;7.7531751283808;48.574185283431;autotrement;Station Citiz PARC DE L'ETOILE
12;7.7731302793848;48.567306603527;autotrement;Station Citiz JEAN JAURES
13;7.7362679818575;48.539998451142;autotrement;Station Citiz ILLKIRCH COLONNE
14;7.7493085599651;48.585609989161;autotrement;Station Citiz BROGLIE
15;7.7247545234915;48.591968173257;autotrement;Station Citiz ROTONDE
16;7.7118009497247;48.571492380655;autotrement;Station Citiz MONTAGNE-VERTE
17;7.7518955118618;48.568622519545;autotrement;Station Citiz SCHLUTHFELD
18;7.74963367903;48.606496518002;autotrement;Station Citiz SCHILTIGHEIM - MAIRIE
19;7.7710132267391;48.585047488821;autotrement;Station Citiz PLACE ARNOLD
20;7.7360634894245;48.58184586306;autotrement;Station Citiz ST MICHEL
21;7.7329097406411;48.583162185634;autotrement;Station Citiz GARE SAINTE AURELIE
22;7.756822132899;48.589324181381;autotrement;Station Citiz CONTADES
23;7.7577696548114;48.593515370315;autotrement;Station Citiz PLACE DE BORDEAUX
24;7.7742912409716;48.583489328358;autotrement;Station Citiz MARNE
25;7.7703843116531;48.588294091212;autotrement;Station Citiz TAULER
26;7.7391374649257;48.601418396713;autotrement;Station Citiz SCHILTIGHEIM PREVERT
27;7.7481657842646;48.581627703663;autotrement;Station Citiz GUTENBERG
28;7.746425172065;48.583479758549;autotrement;Station Citiz KLEBER
29;7.7106868109132;48.579174108262;autotrement;Station Citiz KOENIGSHOFFEN
30;7.7517237660933;48.578128637038;autotrement;Station Citiz AUSTERLITZ
31;7.7764667489042;48.58054969268;autotrement;Station Citiz PLACE D'ISLANDE
32;7.7515398469014;48.613469563506;autotrement;Station Citiz BISCHHEIM PLACE ST LAURENT
33;7.7349217573871;48.608221957715;autotrement;Station Citiz SCHILTIGHEIM CONCORDE
34;7.7108220702114;48.528700652381;autotrement;Station Citiz ILLKIRCH MAIRIE
35;7.7629659187933;48.58599404805;autotrement;Station Citiz BRANT-UNIVERSITE
